0.0821sec. imr:42.8358
0.0822sec. imr:42.8613
0.0823sec. imr:42.8868
0.0824sec. imr:42.9122
0.0825sec. imr:42.9377
0.0826sec. imr:42.9631
0.0827sec. imr:42.9886
0.0828sec. imr:43.014
0.0829sec. imr:43.0395
0.083sec. imr:43.0649
0.0831sec. imr:43.0904
0.0832sec. imr:43.1157
0.0833sec. imr:43.1412
0.0834sec. imr:43.1665
0.0835sec. imr:43.192
0.0836sec. imr:43.2173
0.0837sec. imr:43.2428
0.0838sec. imr:43.2681
0.0839sec. imr:43.2935
0.084sec. imr:43.3188
0.0841sec. imr:43.3443
0.0842sec. imr:43.3696
0.0843sec. imr:43.395
0.0844sec. imr:43.4203
0.0845sec. imr:43.4456
0.0846sec. imr:43.4709
0.0847sec. imr:43.4963
0.0848sec. imr:43.5216
0.0849sec. imr:43.5469
0.085sec. imr:43.5722
0.0851sec. imr:43.5975
0.0852sec. imr:43.6228
0.0853sec. imr:43.6481
0.0854sec. imr:43.6734
0.0855sec. imr:43.6987
0.0856sec. imr:43.7239
0.0857sec. imr:43.7492
0.0858sec. imr:43.7744
0.0859sec. imr:43.7997
0.086sec. imr:43.8249
0.0861sec. imr:43.8502
0.0862sec. imr:43.8754
0.0863sec. imr:43.9007
0.0864sec. imr:43.9259
0.0865sec. imr:43.9511
0.0866sec. imr:43.9763
0.0867sec. imr:44.0016
0.0868sec. imr:44.0267
0.0869sec. imr:44.0519
0.087sec. imr:44.0771
0.0871sec. imr:44.1023
0.0872sec. imr:44.1274
0.0873sec. imr:44.1527
0.0874sec. imr:44.1778
0.0875sec. imr:44.203
0.0876sec. imr:44.2281
0.0877sec. imr:44.2533
0.0878sec. imr:44.2784
0.0879sec. imr:44.3035
0.088sec. imr:44.3286
0.0881sec. imr:44.3538
0.0882sec. imr:44.3789
0.0883sec. imr:44.404
0.0884sec. imr:44.4291
0.0885sec. imr:44.4542
0.0886sec. imr:44.4792
0.0887sec. imr:44.5044
0.0888sec. imr:44.5294
0.0889sec. imr:44.5545
0.089sec. imr:44.5795
0.0891sec. imr:44.6047
0.0892sec. imr:44.6297
0.0893sec. imr:44.6548
0.0894sec. imr:44.6798
0.0895sec. imr:44.7048
0.0896sec. imr:44.7298
0.0897sec. imr:44.7549
0.0898sec. imr:44.7799
0.0899sec. imr:44.8049
0.09sec. imr:44.8299
0.0901sec. imr:44.8549
0.0902sec. imr:44.8799
0.0903sec. imr:44.9049
0.0904sec. imr:44.9298
0.0905sec. imr:44.9549
0.0906sec. imr:44.9798
0.0907sec. imr:45.0048
0.0908sec. imr:45.0297
0.0909sec. imr:45.0547
0.091sec. imr:45.0796
0.0911sec. imr:45.1046
0.0912sec. imr:45.1295
0.0913sec. imr:45.1545
0.0914sec. imr:45.1793
0.0915sec. imr:45.2043
0.0916sec. imr:45.2292
0.0917sec. imr:45.2541
0.0918sec. imr:45.279
0.0919sec. imr:45.3039
0.092sec. imr:45.3288
0.0921sec. imr:45.3537
0.0922sec. imr:45.3785
0.0923sec. imr:45.4034
0.0924sec. imr:45.4283
0.0925sec. imr:45.4532
0.0926sec. imr:45.478
0.0927sec. imr:45.5028
0.0928sec. imr:45.5276
0.0929sec. imr:45.5525
0.093sec. imr:45.5773
0.0931sec. imr:45.6022
0.0932sec. imr:45.6269
0.0933sec. imr:45.6518
0.0934sec. imr:45.6766
0.0935sec. imr:45.7014
0.0936sec. imr:45.7262
0.0937sec. imr:45.751
0.0938sec. imr:45.7757
0.0939sec. imr:45.8005
0.094sec. imr:45.8253
0.0941sec. imr:45.8501
0.0942sec. imr:45.8748
0.0943sec. imr:45.8996
0.0944sec. imr:45.9243
